"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","sentence","instruction","color_pair","marble_orientation","wheel_option","target_loc","competitor_loc"
3,1,"exp","wheel","rarely","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_b.png","marble_100-0_b.png","wheel_25-75_b-g.png","marble_25-75_b-g.png","1_wheel","List3",1,"V2","The arrow rarely lands on blue.","The |arrow |rarely lands on |blue.","b-g","b->g","same","LB","LT"
3,10,"exp","wheel","always","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_100-0_g.png","marble_25-75_g-y.png","marble_25-75_g-y.png","wheel_25-75_y-g.png","marble_100-0_g.png","wheel_100-0_y.png","10_wheel","List3",13,"V2","The arrow always lands on yellow.","The |arrow |always lands on |yellow.","g-y","g->y","flipped","RB","RT"
3,10,"exp","marble","rarely","marble_25-75_g-y.png","marble_100-0_g.png","wheel_25-75_y-g.png","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_25-75_g-y.png","wheel_100-0_y.png","marble_100-0_g.png","10_marble","List3",14,"V2","The marble rarely lands on green.","The |marble |rarely lands on |green.","g-y","g->y","flipped","RT","RB"
3,12,"exp","wheel","usually","wheel_25-75_g-y.png","wheel_100-0_g.png","marble_25-75_y-g.png","marble_100-0_y.png","wheel_100-0_g.png","marble_100-0_y.png","wheel_25-75_g-y.png","marble_25-75_y-g.png","12_wheel","List3",15,"V2","The arrow usually lands on yellow.","The |arrow |usually lands on |yellow.","g-y","y->g","flipped","LB","LT"
3,12,"exp","marble","never","marble_100-0_y.png","marble_25-75_y-g.png","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_100-0_y.png","wheel_100-0_g.png","marble_25-75_y-g.png","wheel_25-75_g-y.png","12_marble","List3",16,"V2","The marble never lands on green.","The |marble |never lands on |green.","g-y","y->g","flipped","LT","LB"
3,3,"filler","wheel","0","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_100-0_g.png","marble_25-75_g-b.png","marble_100-0_g.png","wheel_100-0_g.png","marble_25-75_g-b.png","wheel_25-75_g-b.png","3_wheel","List3",17,"V2","The arrow has a 0 percent chance of landing on blue.","The |arrow |has a 0 percent chance of landing on |blue.","b-g","g->b","same","RT","RB"
3,3,"filler","marble","0","marble_100-0_g.png","marble_25-75_g-b.png","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_25-75_g-b.png","wheel_25-75_g-b.png","marble_100-0_g.png","wheel_100-0_g.png","3_marble","List3",18,"V2","The marble has a 0 percent chance of landing on blue.","The |marble |has a 0 percent chance of landing on |blue.","b-g","g->b","same","LB","LT"
3,5,"filler","wheel","25","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_b-y.png","marble_100-0_b.png","marble_25-75_b-y.png","wheel_25-75_b-y.png","marble_100-0_b.png","wheel_100-0_b.png","5_wheel","List3",19,"V2","The arrow has a 25 percent chance of landing on blue.","The |arrow |has a 25 percent chance of landing on |blue.","b-y","b->y","same","RT","RB"
3,5,"filler","marble","25","marble_25-75_b-y.png","marble_100-0_b.png","wheel_25-75_b-y.png","wheel_100-0_b.png","wheel_100-0_b.png","marble_100-0_b.png","wheel_25-75_b-y.png","marble_25-75_b-y.png","5_marble","List3",20,"V2","The marble has a 25 percent chance of landing on blue.","The |marble |has a 25 percent chance of landing on |blue.","b-y","b->y","same","RB","RT"
3,6,"filler","wheel","75","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_b-y.png","marble_100-0_b.png","wheel_100-0_y.png","marble_100-0_b.png","wheel_25-75_y-b.png","marble_25-75_b-y.png","6_wheel","List3",21,"V2","The arrow has a 75 percent chance of landing on blue.","The |arrow |has a 75 percent chance of landing on |blue.","b-y","b->y","flipped","LB","LT"
3,6,"filler","marble","75","marble_25-75_b-y.png","marble_100-0_b.png","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_b-y.png","wheel_25-75_y-b.png","marble_100-0_b.png","wheel_100-0_y.png","6_marble","List3",22,"V2","The marble has a 75 percent chance of landing on yellow.","The |marble |has a 75 percent chance of landing on |yellow.","b-y","b->y","flipped","LT","LB"
3,11,"filler","wheel","100","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_100-0_y.png","marble_25-75_y-g.png","marble_25-75_y-g.png","wheel_25-75_y-g.png","marble_100-0_y.png","wheel_100-0_y.png","11_wheel","List3",23,"V2","The arrow has a 100 percent chance of landing on yellow.","The |arrow |has a 100 percent chance of landing on |yellow.","g-y","y->g","same","RB","RT"
3,11,"filler","marble","100","marble_100-0_y.png","marble_25-75_y-g.png","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_100-0_y.png","wheel_100-0_y.png","marble_25-75_y-g.png","wheel_25-75_y-g.png","11_marble","List3",24,"V2","The marble has a 100 percent chance of landing on yellow.","The |marble |has a 100 percent chance of landing on |yellow.","g-y","y->g","same","LT","LB"
3,13,"typeB","wheel","25","wheel_25-75_b-y.png","wheel_25-75_y-b.png","marble_100-0_b.png","marble_100-0_y.png","marble_100-0_b.png","wheel_25-75_b-y.png","marble_100-0_y.png","wheel_25-75_y-b.png","13_wheel","List3",25,"V2","The arrow has a 25 percent chance of landing on blue.","The |arrow |has a 25 percent chance of landing on |blue.","b-y","b->y","same","RT","RB"
3,14,"typeB","marble","25","marble_25-75_b-y.png","marble_25-75_y-b.png","wheel_100-0_b.png","wheel_100-0_y.png","marble_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_y-b.png","wheel_100-0_y.png","14_marble","List3",26,"V2","The marble has a 25 percent chance of landing on blue.","The |marble |has a 25 percent chance of landing on |blue.","b-y","b->y","same","LT","LB"
3,15,"typeB","wheel","75","wheel_25-75_b-y.png","wheel_25-75_y-b.png","marble_100-0_b.png","marble_100-0_y.png","wheel_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_b-y.png","marble_100-0_b.png","15_wheel","List3",27,"V2","The arrow has a 75 percent chance of landing on yellow.","The |arrow |has a 75 percent chance of landing on |yellow.","b-y","b->y","same","LB","LT"
3,16,"typeB","marble","75","marble_25-75_g-y.png","marble_25-75_y-g.png","wheel_100-0_g.png","wheel_100-0_y.png","wheel_100-0_y.png","marble_25-75_y-g.png","wheel_100-0_g.png","marble_25-75_g-y.png","16_marble","List3",28,"V2","The marble has a 75 percent chance of landing on yellow.","The |marble |has a 75 percent chance of landing on |yellow.","g-y","g->y","same","RB","RT"
3,17,"typeB","wheel","100","wheel_100-0_g.png","wheel_100-0_y.png","marble_25-75_g-y.png","marble_25-75_y-g.png","wheel_100-0_y.png","marble_25-75_y-g.png","wheel_100-0_g.png","marble_25-75_g-y.png","17_wheel","List3",29,"V2","The arrow has a 100 percent chance of landing on green.","The |arrow |has a 100 percent chance of landing on |green.","g-y","g->y","same","LB","LT"
3,18,"typeB","marble","100","marble_100-0_b.png","marble_100-0_g.png","wheel_25-75_b-g.png","wheel_25-75_g-b.png","marble_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_g.png","wheel_25-75_g-b.png","18_marble","List3",30,"V2","The marble has a 100 percent chance of landing on blue.","The |marble |has a 100 percent chance of landing on |blue.","b-g","b->g","same","LT","LB"
3,19,"typeB","wheel","0","wheel_100-0_g.png","wheel_100-0_y.png","marble_25-75_g-y.png","marble_25-75_y-g.png","marble_25-75_g-y.png","wheel_100-0_g.png","marble_25-75_y-g.png","wheel_100-0_y.png","19_wheel","List3",31,"V2","The arrow has a 0 percent chance of landing on yellow.","The |arrow |has a 0 percent chance of landing on |yellow.","g-y","g->y","same","RT","RB"
3,20,"typeB","marble","0","marble_100-0_b.png","marble_100-0_g.png","wheel_25-75_b-g.png","wheel_25-75_g-b.png","wheel_25-75_g-b.png","marble_100-0_g.png","wheel_25-75_b-g.png","marble_100-0_b.png","20_marble","List3",32,"V2","The marble has a 0 percent chance of landing on green.","The |marble |has a 0 percent chance of landing on |green.","b-g","b->g","same","RB","RT"
