"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","sentence","instruction","color_pair","marble_orientation","wheel_option","target_loc","competitor_loc"
2,1,"exp","wheel","usually","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_25-75_b-g.png","marble_100-0_b.png","marble_25-75_b-g.png","wheel_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_b.png","1_wheel","List2",1,"V1","The arrow usually lands on green.","The |arrow |usually lands on |green.","b-g","b->g","same","RT","RB"
2,8,"exp","marble","always","marble_100-0_y.png","marble_25-75_y-b.png","wheel_100-0_b.png","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_100-0_y.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","8_marble","List2",12,"V1","The marble always lands on yellow.","The |marble |always lands on |yellow.","b-y","y->b","flipped","RT","RB"
2,9,"exp","wheel","never","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_100-0_g.png","marble_25-75_g-y.png","marble_100-0_g.png","wheel_100-0_g.png","marble_25-75_g-y.png","wheel_25-75_g-y.png","9_wheel","List2",13,"V1","The arrow never lands on yellow.","The |arrow |never lands on |yellow.","g-y","g->y","same","RT","RB"
2,9,"exp","marble","usually","marble_25-75_g-y.png","marble_100-0_g.png","wheel_25-75_g-y.png","wheel_100-0_g.png","wheel_100-0_g.png","marble_100-0_g.png","wheel_25-75_g-y.png","marble_25-75_g-y.png","9_marble","List2",14,"V1","The marble usually lands on yellow.","The |marble |usually lands on |yellow.","g-y","g->y","same","RB","RT"
2,10,"exp","wheel","always","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_100-0_g.png","marble_25-75_g-y.png","wheel_25-75_y-g.png","marble_25-75_g-y.png","wheel_100-0_y.png","marble_100-0_g.png","10_wheel","List2",15,"V1","The arrow always lands on yellow.","The |arrow |always lands on |yellow.","g-y","g->y","flipped","LB","LT"
2,10,"exp","marble","rarely","marble_25-75_g-y.png","marble_100-0_g.png","wheel_25-75_y-g.png","wheel_100-0_y.png","wheel_100-0_y.png","marble_100-0_g.png","wheel_25-75_y-g.png","marble_25-75_g-y.png","10_marble","List2",16,"V1","The marble rarely lands on green.","The |marble |rarely lands on |green.","g-y","g->y","flipped","RB","RT"
2,2,"filler","wheel","0","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_100-0_b.png","marble_25-75_b-g.png","marble_25-75_b-g.png","wheel_25-75_g-b.png","marble_100-0_b.png","wheel_100-0_g.png","2_wheel","List2",17,"V1","The arrow has a 0 percent chance of landing on blue.","The |arrow |has a 0 percent chance of landing on |blue.","b-g","b->g","flipped","RB","RT"
2,2,"filler","marble","0","marble_100-0_b.png","marble_25-75_b-g.png","wheel_100-0_g.png","wheel_25-75_g-b.png","wheel_100-0_g.png","marble_100-0_b.png","wheel_25-75_g-b.png","marble_25-75_b-g.png","2_marble","List2",18,"V1","The marble has a 0 percent chance of landing on green.","The |marble |has a 0 percent chance of landing on |green.","b-g","b->g","flipped","RT","RB"
2,6,"filler","wheel","25","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_b-y.png","marble_100-0_b.png","wheel_100-0_y.png","marble_100-0_b.png","wheel_25-75_y-b.png","marble_25-75_b-y.png","6_wheel","List2",19,"V1","The arrow has a 25 percent chance of landing on yellow.","The |arrow |has a 25 percent chance of landing on |yellow.","b-y","b->y","flipped","LB","LT"
2,6,"filler","marble","25","marble_25-75_b-y.png","marble_100-0_b.png","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_b-y.png","wheel_25-75_y-b.png","marble_100-0_b.png","wheel_100-0_y.png","6_marble","List2",20,"V1","The marble has a 25 percent chance of landing on blue.","The |marble |has a 25 percent chance of landing on |blue.","b-y","b->y","flipped","LT","LB"
2,11,"filler","wheel","75","wheel_25-75_y-g.png","wheel_100-0_y.png","marble_25-75_y-g.png","marble_100-0_y.png","marble_100-0_y.png","wheel_100-0_y.png","marble_25-75_y-g.png","wheel_25-75_y-g.png","11_wheel","List2",21,"V1","The arrow has a 75 percent chance of landing on green.","The |arrow |has a 75 percent chance of landing on |green.","g-y","y->g","same","RB","RT"
2,11,"filler","marble","75","marble_25-75_y-g.png","marble_100-0_y.png","wheel_25-75_y-g.png","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_25-75_y-g.png","wheel_100-0_y.png","marble_100-0_y.png","11_marble","List2",22,"V1","The marble has a 75 percent chance of landing on green.","The |marble |has a 75 percent chance of landing on |green.","g-y","y->g","same","RT","RB"
2,12,"filler","wheel","100","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_100-0_y.png","marble_25-75_y-g.png","wheel_25-75_g-y.png","marble_25-75_y-g.png","wheel_100-0_g.png","marble_100-0_y.png","12_wheel","List2",23,"V1","The arrow has a 100 percent chance of landing on green.","The |arrow |has a 100 percent chance of landing on |green.","g-y","y->g","flipped","LB","LT"
2,12,"filler","marble","100","marble_100-0_y.png","marble_25-75_y-g.png","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_100-0_y.png","wheel_100-0_g.png","marble_25-75_y-g.png","wheel_25-75_g-y.png","12_marble","List2",24,"V1","The marble has a 100 percent chance of landing on yellow.","The |marble |has a 100 percent chance of landing on |yellow.","g-y","y->g","flipped","LT","LB"
2,13,"typeB","wheel","25","wheel_25-75_b-y.png","wheel_25-75_y-b.png","marble_100-0_b.png","marble_100-0_y.png","marble_100-0_y.png","wheel_25-75_y-b.png","marble_100-0_b.png","wheel_25-75_b-y.png","13_wheel","List2",25,"V1","The arrow has a 25 percent chance of landing on blue.","The |arrow |has a 25 percent chance of landing on |blue.","b-y","b->y","same","RB","RT"
2,14,"typeB","marble","25","marble_25-75_b-y.png","marble_25-75_y-b.png","wheel_100-0_b.png","wheel_100-0_y.png","wheel_100-0_b.png","marble_25-75_b-y.png","wheel_100-0_y.png","marble_25-75_y-b.png","14_marble","List2",26,"V1","The marble has a 25 percent chance of landing on blue.","The |marble |has a 25 percent chance of landing on |blue.","b-y","b->y","same","RT","RB"
2,15,"typeB","wheel","75","wheel_25-75_b-y.png","wheel_25-75_y-b.png","marble_100-0_b.png","marble_100-0_y.png","wheel_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_b-y.png","marble_100-0_b.png","15_wheel","List2",27,"V1","The arrow has a 75 percent chance of landing on yellow.","The |arrow |has a 75 percent chance of landing on |yellow.","b-y","b->y","same","LB","LT"
2,16,"typeB","marble","75","marble_25-75_b-g.png","marble_25-75_g-b.png","wheel_100-0_b.png","wheel_100-0_g.png","marble_25-75_g-b.png","wheel_100-0_g.png","marble_25-75_b-g.png","wheel_100-0_b.png","16_marble","List2",28,"V1","The marble has a 75 percent chance of landing on green.","The |marble |has a 75 percent chance of landing on |green.","b-g","b->g","same","LB","LT"
2,17,"typeB","wheel","100","wheel_100-0_b.png","wheel_100-0_g.png","marble_25-75_b-g.png","marble_25-75_g-b.png","marble_25-75_g-b.png","wheel_100-0_g.png","marble_25-75_b-g.png","wheel_100-0_b.png","17_wheel","List2",29,"V1","The arrow has a 100 percent chance of landing on blue.","The |arrow |has a 100 percent chance of landing on |blue.","b-g","b->g","same","RB","RT"
2,18,"typeB","marble","100","marble_100-0_g.png","marble_100-0_y.png","wheel_25-75_g-y.png","wheel_25-75_y-g.png","marble_100-0_g.png","wheel_25-75_g-y.png","marble_100-0_y.png","wheel_25-75_y-g.png","18_marble","List2",30,"V1","The marble has a 100 percent chance of landing on green.","The |marble |has a 100 percent chance of landing on |green.","g-y","g->y","same","LT","LB"
2,19,"typeB","wheel","0","wheel_100-0_b.png","wheel_100-0_g.png","marble_25-75_b-g.png","marble_25-75_g-b.png","wheel_100-0_b.png","marble_25-75_b-g.png","wheel_100-0_g.png","marble_25-75_g-b.png","19_wheel","List2",31,"V1","The arrow has a 0 percent chance of landing on green.","The |arrow |has a 0 percent chance of landing on |green.","b-g","b->g","same","LT","LB"
2,20,"typeB","marble","0","marble_100-0_g.png","marble_100-0_y.png","wheel_25-75_g-y.png","wheel_25-75_y-g.png","wheel_25-75_g-y.png","marble_100-0_g.png","wheel_25-75_y-g.png","marble_100-0_y.png","20_marble","List2",32,"V1","The marble has a 0 percent chance of landing on yellow.","The |marble |has a 0 percent chance of landing on |yellow.","g-y","g->y","same","RT","RB"
